tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,7,3.0,19,15,1,240.0,2.0,2003.0,2.0,1.0,2.0,,,,,4000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,980.0,1,1,1,13200.0,1,1,125.0,,14305,1,1.0,12.0,1700.0
101,7,11.0,15,13,1,40.0,2.0,1984.0,,1.0,2.0,,,,,1500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,1200.0,1,1,1,4800.0,1,1,144.0,,6144,2,,,
101,7,11.0,15,14,1,40.0,2.0,1980.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,850.0,1,1,1,3400.0,1,1,120.0,,4370,2,,,
101,7,11.0,15,15,1,40.0,2.0,1961.0,,1.0,2.0,,,,,1400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,1080.0,1,1,1,6000.0,1,1,180.0,,7260,1,1.0,12.0,60.0
101,7,15.0,13,15,1,58.0,2.0,1980.0,,1.0,2.0,,,,,850000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,1000.0,,,,,1,,,1,1,,1,480.0,1,1,1,1560.0,1,1,144.0,,3184,2,,,
101,7,15.0,13,19,1,90.0,2.0,1998.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,720.0,1,1,1,2400.0,1,1,144.0,,3264,1,1.0,5.0,1800.0
101,7,15.0,13,20,1,74.0,2.0,1995.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,200.0,1,1,1,600.0,1,1,72.0,,872,2,,,
101,7,19.0,25,13,1,70.0,2.0,2006.0,2.0,1.0,2.0,,,,,1300000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,5400.0,1,1,96.0,,6096,2,,,
101,7,19.0,25,15,1,50.0,2.0,1989.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,1,1,1,1440.0,1,1,120.0,,1560,2,,,
101,7,19.0,25,20,1,70.0,2.0,1993.0,,1.0,2.0,,,,,800000.0,1.0,2.0,,,,500000.0,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,1,360.0,1,1,1,7200.0,1,1,144.0,,7704,1,1.0,12.0,3360.0
101,7,21.0,16,13,1,25.0,3.0,2001.0,4.0,1.0,2.0,,,,,700000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,720.0,1,1,1,1560.0,1,1,108.0,,2388,2,,,
101,7,21.0,16,15,1,150.0,2.0,2003.0,2.0,1.0,2.0,,,,,1000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,3120.0,1,1,216.0,,3936,1,1.0,12.0,1080.0
101,7,21.0,16,20,1,100.0,2.0,2005.0,2.0,1.0,2.0,,,,,1000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,720.0,1,1,1,3600.0,1,1,144.0,,4464,1,2.0,,
101,7,27.0,3,13,1,45.0,2.0,1994.0,,1.0,2.0,,,,,4000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,590.0,1,1,1,2641.0,1,1,192.0,,3423,1,2.0,,
101,7,27.0,3,14,1,40.0,4.0,1973.0,,1.0,2.0,,,,,650000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,350.0,1,1,1,660.0,1,1,96.0,,1106,2,,,
101,7,27.0,3,15,1,75.0,2.0,2001.0,4.0,1.0,2.0,,,,,1300000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,700.0,1,1,1,3000.0,1,1,180.0,,3880,1,1.0,12.0,1800.0
101,7,33.0,21,15,1,120.0,2.0,2001.0,4.0,1.0,2.0,,,,,1250000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,480.0,1,1,1,5400.0,1,1,108.0,,5988,1,1.0,12.0,1800.0
101,7,33.0,21,20,1,180.0,2.0,2003.0,4.0,1.0,2.0,,,,,1850000.0,1.0,2.0,,,,500000.0,1.0,12.0,1987.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,780.0,1,1,1,4560.0,1,1,144.0,,5484,1,1.0,12.0,1080.0
101,7,33.0,21,24,1,20.0,4.0,1992.0,,1.0,2.0,,,,,400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,360.0,1,1,1,1440.0,1,1,96.0,,1896,2,,,
101,7,37.0,15,13,1,70.0,2.0,1995.0,,1.0,2.0,,,,,2100000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,960.0,1,1,1,3840.0,1,1,96.0,,4896,1,1.0,10.0,2400.0
101,7,37.0,15,14,1,60.0,2.0,2000.0,,1.0,2.0,,,,,2400000.0,2.0,,,,,,2.0,,,,2.0,,,10000.0,,,0.0,,,,,1,,,1,1,,1,432.0,1,1,1,1920.0,1,1,48.0,,12400,2,,,
101,7,37.0,15,15,1,102.0,2.0,2001.0,9.0,1.0,2.0,,,,,2040000.0,2.0,,,,,,2.0,,,,2.0,,,32000.0,,,0.0,,,,,1,,,1,1,,1,960.0,1,1,1,3000.0,1,1,96.0,,36056,2,,,
101,8,3.0,7,13,1,60.0,2.0,1994.0,,1.0,2.0,,,,,540000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,9,,,1,4,1.0,2,,1,1,1,1560.0,1,1,144.0,,1704,1,2.0,,
101,8,3.0,7,14,1,50.0,4.0,2001.0,3.0,1.0,2.0,,,,,450000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,11,1.0,1.0,1,4,1.0,1,480.0,1,1,1,725.0,1,1,108.0,,1313,2,,,
101,8,3.0,7,15,1,65.0,3.0,1990.0,,1.0,2.0,,,,,540000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,180.0,,,,,11,2.0,1.0,1,2,,1,240.0,1,1,1,1200.0,1,1,144.0,,1764,2,,,
101,8,5.0,16,13,1,60.0,2.0,1980.0,,1.0,2.0,,,,,950000.0,2.0,,,,,,1.0,10.0,2000.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,960.0,1,1,1,5050.0,1,1,144.0,,6154,2,,,
101,8,5.0,16,14,1,30.0,2.0,1998.0,,1.0,2.0,,,,,450000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,2,1,,1,620.0,1,1,1,2850.0,1,1,108.0,,3578,2,,,
101,8,5.0,16,15,1,50.0,2.0,1979.0,,1.0,2.0,,,,,850000.0,2.0,,,,,,1.0,7.0,2000.0,,2.0,,,0.0,,,0.0,,,,,3,,,1,1,,1,1200.0,1,1,1,1320.0,1,1,180.0,,2700,2,,,
